Phylum	Class	Genus	Species	Subspecies	English name	GB	FRANCE	BELGIUM	NETHERLANDS	RINSE GB	RINSE FRANCE	RINSE BELGIUM	RINSE NETHERLANDS	Environment
Angiospermae	Eudicotyledoneae	Acacia	dealbata		Silver wattle		Y				?			T
Chordata	Actinopterygii	Acipenser	gueldenstaedtii		Russian sturgeon	Y		Y	Y	Y		Y	N	M+F
Chordata	Aves	Acridotheres	tristis		Common Myna	Y	Y	Y	Y			Y	Y	T
Arthropoda	Insecta	Aedes	albopictus		Asian Tiger Mosquito	N	Y	Y	Y	N	N	N	Y	T
Angiospermae	Eudicotyledoneae	Aeonium	cuneatum		Aeonium	Y								T
Angiospermae	Magnoliopsida	Akebia	quinata		Five-leaf	Y	Y	Y	Y	?	?	N	N	T
Chordata	Actinopterygii	Ambloplites	rupestris		Rock Bass	Y, Ex	Y	Y, Ex		Y, Ex	Y	N		F
Dinoflagellata	Dinophyceae	Alexandrium	catenella			Y	Y		Y	N	?		Y	M
Chordata	Mammalia	Alopex	lagopus		Arctic Fox	Ex	Y	Y		N	N	N		T
Nematoda	Secernentea	Anguillicola	crassus		Eel swim bladder nematode	Y	Y	Y	Y	Y	Y	Y		M+F
Nemertea	Enopla	Antiponemertes	pantini			Y				?				T
Arthropoda	Insecta	Anoplophora	chinensis		 Citrus longhorn beetle	N	Y, Er	Y	Y	N		Y	?	T
Arthropoda	Insecta	Anoplophora	glabripennis		 Asian longhorn beetle	Y	Y	Y, Er	Y, Er	?	?	Y	?	T
Angiospermae	Monocotyledoneae	Arundo	donax		Giant Reed	N	Y	Y	N	N	N	Y	N	F+T
Platyhelminthes	Turbellaria	Arthurdendyus	triangulata		 New Zealand Flatworm	Y	N	N	N	Y	N	N	N	T
Rhodophyta	not assigned	Asparagopsis	armata		Harpoon weed	Y	Y		Y	Y				M
Arthropoda	Maxillopoda	Balanus	improvisus		Acorn barnacle	Y		Y	Y	Y		Y	N	M
Arthropoda	Insecta	Bemisia	tabaci		 Tobacco Whitefly	N	Y	Y	Y	N	?	?	?	T
Rhodophyta	not assigned	Bonnemaisonia	hamifera		Pink cotton wool 	Y	Y		Y	Y	Y		Y	M
Mollusca	Bivalvia	Brachidontes	pharaonis				Y				N			M
Chordata	Aves	Branta	canadensis		Canada Goose	Y	Y	Y	Y	Y	Y	Y	Y	F+T
Chordata	Amphibia	Bufo	marinus		Cane Toad	Y		Y		?		Y		F+T
Nematoda	Secernentea	Bursaphelenchus	xylophilus		Pine Wood Nematode	Y				?				T
Angiospermae	Magnoliopsida	Cabomba	caroliniana		Carolina Water-shield	Y	Y	Y	Y	Y	?	Y	Y	F
Chordata	Aves	Cairina	moschata		Muscovy Duck	Y	Y	Y	Y	Y	?	Y	Y	F+T
Cnidaria	Hydrozoa 	Clavopsella	navis			Y			Y	Y			Y	M
Cnidaria	Hydrozoa 	Clytia	linearis				Y				N			M
Chordata	Mammalia	Callosciurus	prevostii		Prevost's Squirrel	N		Y		N		Y		T
Angiospermae	Eudicotyledoneae	Carpobrotus	edulis		Hottentot-Fig	Y	Y	Y	Y, Ex	Y	N	?	Y, Ex	T
Mollusca	Gastropoda	Corambe	obscura				Y		Y, Ex		N		Y, Ex	M
Chordata	Actinopterygii	Coregonus	albula		Vendace	Y	Y	N	Y	N	Y	N		F
Chordata	Ascidiacea	Corella	eumyota			Y	Y		Y	Y	N		Y	M
Chordata	Mammalia	Castor	canadensis		Canadian beaver	Er	Er	Y		N	N	N		F+T
Chlorophyta	Bryopsidophyceae	Caulerpa	racemosa		Grape Alga	N	Y		Y	N	N			M
Chlorophyta	Bryopsidophyceae	Caulerpa	taxifolia		Caulerpa	Y	Y		Y	N	N			M
Arthropoda	Insecta	Ceratitis	capitata		 Mediterranean Fruit Fly or Medfly	Y	Y	Y	Y	N	?	?	Y	T
Chordata	Mammalia	Cervus	canadensis		Wapiti	Y				Y				T
Annelida	Polychaeta	Desdemona	ornata			Y				Y				M
Chordata	Reptilia	Chelydra	serpentina		Common Snapping Turtle	Y			Y	N			Y	F+T
Chlorophyta	Bryopsidophyceae	Codium	fragile	Atlanticum	Green sea fingers (atlanticum)	Y				N				M
Chlorophyta	Bryopsidophyceae	Codium	fragile	fragile	Green sea-fingers (tomentosoides)	Y	Y	Y	Y	Y	Y			M
Angiospermae	Monocotyledoneae	Cortaderia	selloana		Pampas Grass	Y	Y	Y	Y	Y	Y	Y	Y	T
Chordata	Aves	Corvus	splendens		 Indian house crow	Y	Y	Y	Y				Y	T
Arthropoda	Insecta	Corythucha	arcuata				Y				N			T
Heterokontophyta	Bacillariophyceae	Coscinodiscus	wailesii			Y	Y	Y	Y	Y	Y	Y	Y	M
Arthropoda	Malacostraca	Hemigrapsus	takanoi		brush clawed shore crab,	N	Y	Y	Y	N	Y	Y	Y	M+F
Angiospermae	Eudicotyledoneae	Cotoneaster	horizontalis		Wall Cotoneaster	Y	Y	Y	Y	Y	Y	Y	Y	T
Chordata	Mammalia	Cynomys	ludovicianus		Black-tailed Prairie Dog	Y, Ex			Y	Y, Ex			Y	T
Mollusca	Bivalvia	Dreissena	bugensis		Quagga Mussel	N		Y	Y	N		Y	Y	F
Angiospermae	Eudicotyledoneae	Echinocystis	lobata		Wild Cucumber	N	Y		N	N	?		N	T
Arthropoda	Insecta	Locusta	migratoria				Y	Y	Y					T
Arthropoda	Insecta	Frankliniella	occidentalis		Western flower thrips	Y	Y	Y	Y	?	?	?	?	T
Chordata	Reptilia	Macrochelys	temminckii		Alligator Snapping Turtle	Y				?				F+T
Arthropoda	Insecta	Grapholita	molesta		 Oriental Fruit Moth	Y	Y	Y	N	N	N	N	N	T
Platyhelminthes	Trematoda	Gyrodactylus	salaris		Salmon fluke	N	Y	Y		N				F
Angiospermae	Monocotyledoneae	Hedychium	gardnerianum		Kahili ginger	Y			N	?			N	T
Chordata	Actinopterygii	Misgurnus	mizolepis		Chinese Weatherfish	Y, Er		N	Y	N		N	?	F
Angiospermae	Eudicotyledoneae	Heracleum	mantegazzianum		Giant Hogweed	Y	Y	Y	Y	Y	Y	Y	Y	T
